id,title,year,release_month,genres,duration,country,language,directors,writers,actors,production_company,imdb_score,votes,budget,world_wide_boxoffice,metascore,profit,profit_margin
818170,The Little Traitor,2007,4,['Drama'],88,Israel,Hebrew,['Lynn Roth'],"['Lynn Roth', 'Amos Oz']","['Ido Port', 'Alfred Molina', 'Gilya Stern', 'Rami Heuberger', 'Theodore Bikel']",Evanstone Films Ltd.,6.9,829,1700000,454481,47,-1245519,-0.73
819714,The Edge of Love,2008,6,"['Biography', 'Drama', 'Romance']",110,Uk,English,['John Maybury'],"['Sharman Macdonald', 'Rebekah Gilbertson']","['Simon Armstrong', 'Ben Batt', 'Geoffrey Beevers', 'Rachel Bell', 'Paul Brooke']",Bbc Films,6.3,16252,,4297711,39,,
821640,Ghosts of Girlfriends Past,2009,7,"['Comedy', 'Fantasy', 'Romance']",115,Usa,English,['Mark Waters'],"['Jon Lucas', 'Scott Moore']","['Matthew Mcconaughey', 'Jennifer Garner', 'Michael Douglas', 'Breckin Meyer', 'Lacey Chabert']",Jon Shestack Productions,5.8,82511,37500000,102366815,34,64866815,1.73
821642,The Soloist,2009,7,"['Biography', 'Drama', 'Music']",117,Uk,English,['Joe Wright'],"['Susannah Grant', 'Steve Lopez']","['Jamie Foxx', 'Robert Downey Jr.', 'Catherine Keener', 'Tom Hollander', 'Lisagay Hamilton']",Dreamworks,6.7,50879,60000000,38332994,61,-21667006,-0.36
822832,Marley & Me,2008,4,"['Comedy', 'Drama', 'Family']",111,Usa,English,['David Frankel'],"['Scott Frank', 'Don Roos']","['Owen Wilson', 'Jennifer Aniston', 'Eric Dane', 'Kathleen Turner', 'Alan Arkin']",Fox 2000 Pictures,7.1,144191,60000000,255743093,53,195743093,3.26
822847,Priest,2011,6,"['Action', 'Horror', 'Thriller']",87,Usa,English,['Scott Stewart'],"['Cory Goodman', 'Min-Woo Hyung']","['Paul Bettany', 'Karl Urban', 'Cam Gigandet', 'Maggie Q', 'Lily Collins']",Screen Gems,5.7,113397,60000000,78309505,41,18309505,0.31
822849,Rails & Ties,2007,4,['Drama'],101,Usa,English,['Alison Eastwood'],['Micky Levy'],"['Kevin Bacon', 'Marcia Gay Harden', 'Miles Heizer', 'Marin Hinkle', 'Eugene Byrd']",Malpaso Productions,6.7,3958,,22136,44,,
822854,Shooter,2007,4,"['Action', 'Drama', 'Thriller']",124,Usa,English,['Antoine Fuqua'],"['Jonathan Lemkin', 'Stephen Hunter']","['Mark Wahlberg', 'Michael Peña', 'Danny Glover', 'Kate Mara', 'Elias Koteas']",Paramount Pictures,7.2,305429,61000000,95696996,53,34696996,0.57
824747,Changeling,2008,11,"['Biography', 'Crime', 'Drama']",141,Usa,English,['Clint Eastwood'],['J. Michael Straczynski'],"['Angelina Jolie', 'Gattlin Griffith', 'Michelle Gunn', 'Jan Devereaux', 'Erica Grant']",Imagine Entertainment,7.7,233510,55000000,113398237,63,58398237,1.06
824758,The Last Station,2009,5,"['Biography', 'Drama', 'Romance']",112,Uk,English,['Michael Hoffman'],"['Michael Hoffman', 'Jay Parini']","['Helen Mirren', 'Christopher Plummer', 'Paul Giamatti', 'James Mcavoy', 'John Sessions']",Egoli Tossell Film,7.0,17585,18000000,20554320,76,2554320,0.14
